code,code_digits,slug,name_fr,name_ar,type,region_code,province_code,cercle_code,population_2024,households_2024,population_2014,change_pct,area_km2,density_2024
02.381.01.05,023810105,nador,Nador,الناضور,urban,02,02.381,,158202,43049,161726,-2.18,36.04,4389.31
02.381.01.09,023810109,zeghanghane,Zeghanghane,ازغنغان,urban,02,02.381,,31431,8355,34025,-7.62,4.37,7192.6
02.381.01.03,023810103,bni-ansar,Bni Ansar,بني انصار,urban,02,02.381,,50508,13404,56582,-10.73,57.09,884.71
02.381.01.01,023810101,al-aaroui,Al Aaroui,العروي,urban,02,02.381,,46540,11844,47599,-2.22,22.39,2078.34
02.381.01.07,023810107,zaio,Zaio,زايو,urban,02,02.381,,36766,9646,35806,2.68,14.1,2606.86
02.381.01.19,023810119,selouane,Selouane,سلوان,urban,02,02.381,,29628,7568,21570,37.36,88.82,333.58
02.381.01.15,023810115,ras-el-ma,Ras-El-Ma,رأس الماء,urban,02,02.381,,7527,2077,7580,-0.7,48.75,154.41
02.381.05.01,023810501,bni-bouifrour,Bni Bouifrour,بني بويفرور,rural,02,02.381,02.381.05,6846,1683,6418,6.67,23.76,288.14
02.381.05.15,023810515,ihaddadene,Ihaddadene,إيحدادن,rural,02,02.381,02.381.05,15667,3892,14345,9.22,39.6,395.64
02.381.05.17,023810517,iksane,Iksane,إيكسان,rural,02,02.381,02.381.05,7731,1967,8417,-8.15,64.74,119.42
02.381.05.09,023810509,bouarg,Bouarg,بوعرك,rural,02,02.381,02.381.05,44626,10534,37737,18.26,77.28,577.45
02.381.05.13,023810513,iaazzanene,Iaazzanene,إيعزانن,rural,02,02.381,02.381.05,12706,2925,11131,14.15,83.75,151.71
02.381.05.03,023810503,bni-chiker,Bni Chiker,بني شيكر,rural,02,02.381,02.381.05,22763,5845,26884,-15.33,124.4,182.98
02.381.05.05,023810505,bni-sidel-jbel,Bni Sidel Jbel,بني سيدال الجبل,rural,02,02.381,02.381.05,8199,2136,8930,-8.19,65.69,124.81
02.381.05.07,023810507,bni-sidel-louta,Bni Sidel Louta,بني سيدال لوطا,rural,02,02.381,02.381.05,5366,1387,6283,-14.59,217.13,24.71
02.381.07.09,023810709,hassi-berkane,Hassi-Berkane,حاسي بركان,rural,02,02.381,02.381.07,7465,1713,8788,-15.05,561.39,13.3
02.381.07.01,023810701,afsou,Afsou,افسو,rural,02,02.381,02.381.07,2020,457,2932,-31.11,301.74,6.69
02.381.07.17,023810717,tiztoutine,Tiztoutine,تزطوطين,rural,02,02.381,02.381.07,9349,2360,9788,-4.49,199.84,46.78
02.381.07.07,023810707,bni-oukil-oulad-m-hand,Bni Oukil Oulad M'hand,بني وكيل أولاد محاند,rural,02,02.381,02.381.07,14691,3302,10697,37.34,164.32,89.41
02.381.07.05,023810705,arekmane,Arekmane,أركمان,rural,02,02.381,02.381.07,16477,4424,18490,-10.89,187.71,87.78
02.381.07.03,023810703,al-barkanyene,Al Barkanyene,البركانيين,rural,02,02.381,02.381.07,2278,632,2540,-10.31,80.38,28.34
02.381.07.13,023810713,oulad-settout,Oulad Settout,أولاد ستوت,rural,02,02.381,02.381.07,26052,5981,23218,12.21,420.02,62.03
02.381.07.11,023810711,oulad-daoud-zkhanine,Oulad Daoud Zkhanine,أولاد داوود ازخانين,rural,02,02.381,02.381.07,3149,909,3940,-20.08,238.58,13.2
02.167.01.09,021670109,driouch,Driouch,الدريوش,urban,02,02.167,,15661,4168,14741,6.24,10.65,1470.44
02.167.01.03,021670103,ben-taieb,Ben Taieb,بن الطيب,urban,02,02.167,,15002,3877,14257,5.23,12.8,1172.28
02.167.01.13,021670113,midar,Midar,ميضار,urban,02,02.167,,15391,3975,15021,2.46,93.6,164.43
02.167.13.23,021671323,talilit,Talilit,تليليت,rural,02,02.167,02.167.13,3881,1134,5208,-25.48,48.64,79.8
02.167.13.17,021671317,ouardana,Ouardana,وردانة,rural,02,02.167,02.167.13,7032,1765,7120,-1.24,42.54,165.29
02.167.13.15,021671315,m-hajer,M'hajer,امهاجر,rural,02,02.167,02.167.13,8008,2062,9386,-14.68,105.65,75.8
